team_id,team_name,fifa_code,confederation,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,avg_goals_for,avg_goals_against,win_rate,points
209,Venezuela,VEN,CONMEBOL,81,28,20,33,94,101,-7,1.1604938271604939,1.2469135802469136,0.345679012345679,104
112,Libya,LBY,CAF,61,21,16,24,69,74,-5,1.1311475409836065,1.2131147540983607,0.3442622950819672,79
65,Equatorial Guinea,EQG,CAF,70,24,19,27,69,80,-11,0.9857142857142858,1.1428571428571428,0.34285714285714286,91
23,Bermuda,BER,CONCACAF,50,17,6,27,80,115,-35,1.6,2.3,0.34,57
128,Montenegro,MNE,UEFA,80,27,17,36,89,116,-27,1.1125,1.45,0.3375,98
53,Curaçao,CUW,CONCACAF,57,19,16,22,95,77,18,1.6666666666666667,1.3508771929824561,0.3333333333333333,73
101,Kenya,KEN,CAF,57,19,21,17,65,69,-4,1.1403508771929824,1.2105263157894737,0.3333333333333333,78
152,Philippines,PHI,AFC,63,21,13,29,93,99,-6,1.4761904761904763,1.5714285714285714,0.3333333333333333,76
143,Northern Ireland,NIR,UEFA,78,26,15,37,84,100,-16,1.0769230769230769,1.2820512820512822,0.3333333333333333,93
187,Syria,SYR,AFC,85,28,19,38,108,111,-3,1.2705882352941176,1.3058823529411765,0.32941176470588235,103
22,Benin,BEN,CAF,70,23,20,27,70,82,-12,1.0,1.1714285714285715,0.32857142857142857,89
49,Costa Rica,CRC,CONCACAF,101,33,29,39,124,133,-9,1.2277227722772277,1.316831683168317,0.32673267326732675,128
106,Kyrgyz Republic,KGZ,AFC,62,20,13,29,85,94,-9,1.3709677419354838,1.5161290322580645,0.3225806451612903,73
157,Republic of Ireland,IRL,UEFA,81,26,27,28,90,84,6,1.1111111111111112,1.037037037037037,0.32098765432098764,105
196,Trinidad and Tobago,TRI,CONCACAF,81,26,21,34,120,133,-13,1.4814814814814814,1.6419753086419753,0.32098765432098764,99
63,El Salvador,SLV,CONCACAF,94,30,23,41,96,115,-19,1.0212765957446808,1.2234042553191489,0.3191489361702128,113
87,Honduras,HON,CONCACAF,88,28,22,38,106,120,-14,1.2045454545454546,1.3636363636363635,0.3181818181818182,106
208,Vanuatu,VAN,OFC,35,11,5,19,58,70,-12,1.6571428571428573,2.0,0.3142857142857143,38
88,"Hong Kong, China",HKG,AFC,64,20,14,30,83,91,-8,1.296875,1.421875,0.3125,74
30,Brunei Darussalam,BRU,AFC,32,10,1,21,27,91,-64,0.84375,2.84375,0.3125,31
